c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
,V (um3),Mu (d-1),,V (um3),Mu (d-1),,V (um3),Mu (d-1),,V (um3),Mu (d-1),,V (um3),Mu (d-1)
Diatom,12.7926,3.2814,Calcifier,20.7864,1.2495,Diano,396.1501,0.8311,Small,0.1146,0.2772,N2 fixer,13.9078,0.4473
,28.4815,2.8182,,35.8476,1.3788,,801.5491,0.6797,,0.403,0.3086,,519.6989,0.2518
,29.8403,1.9047,,44.8269,0.8887,,2325.4093,0.4303,,2.33,0.4158,,,
,30.0762,1.8199,,52.6167,0.8887,,5138.9304,0.3235,,10.5097,0.5988,,,
,30.5497,1.5704,,81.7446,0.8531,,5178.6381,0.1274,,,,,,
,33.7013,2.845,,156.4334,0.9245,,6228.3374,0.3191,,,,,,
,35.3086,1.9224,,287.4127,0.5681,,5656.6442,0.2299,,,,,,
,38.9362,2.9609,,296.717,0.4523,,7022.7704,0.2433,,,,,,
,47.5139,2.2211,,1244.8214,0.4169,,8055.5723,0.8761,,,,,,
,51.8714,1.9849,,1383.8862,1.5131,,9008.9223,0.6846,,,,,,
,56.1627,1.5928,,,,,9993.3498,0.4083,,,,,,
,64.857,1.4235,,,,,10656.5488,0.5108,,,,,,
,73.7431,1.5617,,,,,13771.3981,0.5465,,,,,,
,76.101,1.2052,,,,,16034.7599,0.5152,,,,,,
,76.1331,1.4681,,,,,46524.795,0.3417,,,,,,
,87.2336,1.4146,,,,,88298.1625,0.2348,,,,,,
,92.2127,1.0581,,,,,,,,,,,,
,111.7889,1.2097,,,,,,,,,,,,
,104.0785,1.6063,,,,,,,,,,,,
,118.2725,1.3969,,,,,,,,,,,,
,127.1188,1.4147,,,,,,,,,,,,
,122.9893,0.8042,,,,,,,,,,,,
,166.8626,1.2053,,,,,,,,,,,,
,87.4357,2.8585,,,,,,,,,,,,
,139.132,2.7739,,,,,,,,,,,,
,116.4965,1.9539,,,,,,,,,,,,
,142.2674,1.6821,,,,,,,,,,,,
,220.8936,1.2766,,,,,,,,,,,,
,237.2494,0.8578,,,,,,,,,,,,
,160.5467,2.1233,,,,,,,,,,,,
,232.0142,1.9317,,,,,,,,,,,,
,309.3271,1.4282,,,,,,,,,,,,
,324.8047,1.9005,,,,,,,,,,,,
,324.8047,1.9005,,,,,,,,,,,,
,261.7799,2.266,,,,,,,,,,,,
,351.7583,1.6555,,,,,,,,,,,,
,335.5253,2.168,,,,,,,,,,,,
,396.8664,1.9586,,,,,,,,,,,,
,492.8431,2.1368,,,,,,,,,,,,
,381.643,2.5468,,,,,,,,,,,,
,352.49,2.9523,,,,,,,,,,,,
,441.1675,3.0058,,,,,,,,,,,,
,674.0782,2.5825,,,,,,,,,,,,
,499.7888,0.8713,,,,,,,,,,,,
,528.7004,0.9693,,,,,,,,,,,,
,605.5665,0.6886,,,,,,,,,,,,
,611.6154,1.8918,,,,,,,,,,,,
,695.1152,1.7626,,,,,,,,,,,,
,835.4706,1.5487,,,,,,,,,,,,
,996.5163,1.5621,,,,,,,,,,,,
,868.7347,0.9159,,,,,,,,,,,,
,1087.1777,0.907,,,,,,,,,,,,
,1130.9802,0.5594,,,,,,,,,,,,
,1177.1526,0.5327,,,,,,,,,,,,
,1246.805,1.4106,,,,,,,,,,,,
,1406.2282,1.5087,,,,,,,,,,,,
,1451.71,1.375,,,,,,,,,,,,
,1350.6077,1.3215,,,,,,,,,,,,
,1206.9066,1.112,,,,,,,,,,,,
,1451.0882,1.1076,,,,,,,,,,,,
,1859.8317,0.9962,,,,,,,,,,,,
,1905.8343,1.2458,,,,,,,,,,,,
,2308.2711,0.8136,,,,,,,,,,,,
,2797.5838,0.8047,,,,,,,,,,,,
,2982.3056,0.7111,,,,,,,,,,,,
,2234.5011,0.5417,,,,,,,,,,,,
,2459.999,0.5462,,,,,,,,,,,,
,2886.4995,0.3323,,,,,,,,,,,,
,2689.7527,1.2726,,,,,,,,,,,,
,2542.3025,1.0854,,,,,,,,,,,,
,2798.7027,1.0542,,,,,,,,,,,,
,2844.1501,1.1077,,,,,,,,,,,,
,3477.1935,1.5311,,,,,,,,,,,,
,4182.3418,1.7718,,,,,,,,,,,,
,3644.7458,0.9028,,,,,,,,,,,,
,3559.7172,1.1701,,,,,,,,,,,,
,4449.9426,0.4794,,,,,,,,,,,,
,4707.2268,0.5596,,,,,,,,,,,,
,5181.3012,0.4483,,,,,,,,,,,,
,4901.3591,0.7825,,,,,,,,,,,,
,6806.6355,0.7335,,,,,,,,,,,,
,5103.7528,1.0365,,,,,,,,,,,,
,5103.0604,0.9518,,,,,,,,,,,,
,5801.2802,0.9875,,,,,,,,,,,,
,5989.2107,0.885,,,,,,,,,,,,
,6862.6585,0.8494,,,,,,,,,,,,
,8383.6634,0.7915,,,,,,,,,,,,
,13142.1611,1.3575,,,,,,,,,,,,
,14696.1277,1.108,,,,,,,,,,,,
,20411.7812,1.1481,,,,,,,,,,,,
,24947.677,1.3888,,,,,,,,,,,,
,12708.1695,0.3994,,,,,,,,,,,,
,16822.0594,0.4306,,,,,,,,,,,,
,13549.503,0.4083,,,,,,,,,,,,
,21905.1503,0.2168,,,,,,,,,,,,
,22821.0914,0.7827,,,,,,,,,,,,
,27277.2974,2.1063,,,,,,,,,,,,
,40330.284,1.1661,,,,,,,,,,,,
,31689.2578,0.6758,,,,,,,,,,,,
,34891.4588,0.7561,,,,,,,,,,,,
,46175.9738,0.6447,,,,,,,,,,,,
,62599.738,0.5645,,,,,,,,,,,,
,74648.9035,0.4309,,,,,,,,,,,,
,75220.3329,0.1902,,,,,,,,,,,,
,76451.6425,0.3239,,,,,,,,,,,,
,81515.9678,0.3551,,,,,,,,,,,,
,1.29E+05,1.496,,,,,,,,,,,,
,1.21E+05,0.881,,,,,,,,,,,,
,1.19E+05,0.7696,,,,,,,,,,,,
,1.12E+05,0.7295,,,,,,,,,,,,
,1.70E+05,0.7875,,,,,,,,,,,,
,1.42E+05,0.6583,,,,,,,,,,,,
,1.53E+05,0.3285,,,,,,,,,,,,
,2.20E+05,0.6627,,,,,,,,,,,,
,2.73E+05,0.4757,,,,,,,,,,,,
,3.57E+05,1.3803,,,,,,,,,,,,
,3.04E+05,0.9569,,,,,,,,,,,,
,4.25E+05,1.1486,,,,,,,,,,,,
,3.80E+05,0.8679,,,,,,,,,,,,
,3.48E+05,0.7029,,,,,,,,,,,,
,3.62E+05,0.596,,,,,,,,,,,,
,3.21E+05,0.3554,,,,,,,,,,,,
,6.76E+05,0.204,,,,,,,,,,,,
,2.49E+06,0.2443,,,,,,,,,,,,
,2.40E+06,0.73,,,,,,,,,,,,
,6.22E+06,0.4227,,,,,,,,,,,,
